studio, percent 
Buena Vista, 0.33 
Warner Bros., 0.14 
Universal, 0.14 
Sony / Columbia, 0.11 
Lionsgate, 0.07 
Paramount, 0.05 
20th Century Fox, 0.04 
STX Entertainment, 0.03 
Focus Features, 0.02 
United Artists Releasing, 0.01 
A24, 0.01 
Fox Searchlight, 0.01 
Annapurna Pictures, 0.01 
Fathom, 0.01 
Roadside Attractions, 0.00 
FUNimation Films, 0.00 
Amazon Studios, 0.00 
Entertainment Studios, 0.00 
MGM/UA, 0.00 
Neon, 0.00 
Aviron, 0.00 
Bleecker Street, 0.00 
Sony Classics, 0.00 
Pure Flix, 0.00 
Orion Pictures, 0.00 
FIP, 0.00 
Viva Pictures Distribution, 0.00 
Trafalgar Releasing, 0.00 
CMC, 0.00 
Greenwich, 0.00 
Entertainment One, 0.00 
Reliance Big Pictures, 0.00 
Well Go USA, 0.00 
IFC, 0.00 
National Geographic Entertainment, 0.00 
Magnolia, 0.00 
Yash Raj, 0.00 
OTL, 0.00 
CBS Films, 0.00 
PackYourBag, -   
Shorts International, -   
Spanglish Movies, -   
CJ Entertainment, -   
ArtAffects, -   
Saban Films, -   
Kino Lorber, -   
GKIDS, -   
Briarcliff, -   
Music Box Films, -   
Indican, -   
Purdie Distribution, -   
The Orchard, -   
China Lion, -   
Abramorama, -   
Forrest Films, -   
Cohen Media Group, -   
Swen, -   
Oscilloscope Pictures, -   
PBS Distribution, -   
InYo Entertainment, -   
Blue Fox Entertainment, -   
1091, -   
Smith Global , -   
Ciesla Foundation, -   
Gunpowder & Sky, -   
Janus Films, -   
Lucky Hat, -   
Film Movement, -   
Ledafilms, -   
Screen Media, -   
Strand, -   
Gravitas Ventures, -   
The Film Arcade, -   
Good Deed, -   
Urban Movie Channel, -   
Eros, -   
Zeitgeist, -   
Emphatic Cinema/Levey, -   
Rialto, -   
Variance Films, -   
IMAX, -   
Santa Rita Film Co, -   
Distrib Films, -   
Cinema Guild, -   
Menemsha, -   
Vertical Entertainment, -   
in8 Releasing, -   
O'Malley Creadon, -   
Elevation Pictures, -   
CineLife, -   
Metrograph, -   
Five & Two Pictures, -   
Grasshopper Film, -   
Hyper Film, -   
Dada Films, -   
Eleven Arts, -   
Samuel Goldwyn, -   
Citadel Film Group, -   
Argot Pictures, -   
Verizon Media/RYOT, -   
Round Hill Media, -   
Nocturnal Features, -   
Area23a, -   
KimStim, -   
Ammo Content, -   
Independent, -   
Atlas Distribution, -   
Lurker Films, -   
Icarus Films, -   
Hammond, -   
Lightyear Entertainment, -   
First Run, -   
Comedy Dynamics, -   
Altered Innocence, -   
Grindstone Entertainment, -   
Big World Pictures, -   
Monument Releasing, -   
Excel, -   
Matson Films, -   
Cinema Libre Studio, -   
Joma Films, -   
Yellow Veil Pictures, -   
Hannover House, -   
Kino, -   
Super, -   
Doppelganger Releasing, -   
Gathr Films, -   
Balcony Releasing, -   
Stimulus Pictures, -   
Giant Steps, -   
Breakthrough Ent., -   
CFI Releasing, -   
Zipporah Films, -   
Cinedigm Entertainment, -   
Shout! Factory, -   
Distributors Corporation of America, -   
Sumbadhat Productions, -   
Fun Academy, -   
